,comments,notes,hotel_name
0," C'est un superbe hotel très très propre, très confortable avec des lits medicals, du désign contemporain. Le personnel est très sympathique toujours souriant et serviable. Le petit déjeuner est merveilleux avec des produits du tiroir traditionnel fraiches. La gérante est toujours a l'écoute toujours souriante serviable , elle veille a la satisfaction de sa clientèle. La vue a partir de la terrasse est splendide magnifique sur montagne et sur jardin. Les balcons donnant sur la rivière a profiter au maximum. L'emplacement est extraordinaire sur la fameuse place RAS EL MA et à 2 minutes de la place OUTA HMAM. Tout simplement c'est un endroit parfait sur tous les côtés",10.0,Hotel Princesse Ilham
1, Merci pour tout ce que vous avez fait pour nous :),10.0,Hotel Princesse Ilham
2," L'établissement est propre, personnel très serviable, la propriétaire est professionnel et à l'écoute.
Petit déjeuner rien à dire top surtout qu'il fait maison .
Je recommande 100%",8.0,Hotel Princesse Ilham
3," l’emplacement, la propreté, la décoration, le personnel, et le petit dej",10.0,Hotel Princesse Ilham
4, rapport prix qualité,7.0,Hotel Princesse Ilham
5, Rien à signaler,9.0,Hotel Princesse Ilham
6," L accueil du personnel excellent Madame Ilham est à l écoute petit déjeuner très copieux et Made Fatima est très serviable. Je recommande cet établissement.
Aissaine Amel",8.0,Hotel Princesse Ilham
7, Rad,10.0,Hotel Princesse Ilham
8," L'établissement est propre et cosy, le personnel sympa et serviable l'endroit est sécurisée est beau. Avec une vue paisible du roof top proche du Outa Hammam et Ras el ma. Sinn continuer à améliorer votre qualité vous êtes dans la bonne voix.",8.0,Hotel Princesse Ilham
9," L'accueil chaleureux et la courtoisie du personnel.
L'emplacement de l'hôtel en hauteur de Chefchaouen, proche de tout.
La vue panoramique en prenant le petit déjeuner et le diner.
Les plats servis sont faits maison, copieux, variés et délicieux.",10.0,Hotel Princesse Ilham
10," J'ai bien aimé l'emplacement.
L'appartement c'était propre et calme et la vue sur mere et sur l'espagne est super...
Le hote est un personne tres agréable et très surviable..",10.0,Appart Relax côté Mer
11, Accès facile près de la gare,7.0,Appart Relax côté Mer
12, Son emplacement,6.0,Appart Relax côté Mer
13, Appartement propre et bien situé avec une belle vue.,8.0,Appart Relax côté Mer
14, La localisation et le prix,8.0,Appart Relax côté Mer
15," Personnel sympathique appartement très belle, propre et emplacement idéal",8.0,Appart Relax côté Mer
16, Tt,8.0,Appart Relax côté Mer
17, La localité proche de tout !!!,6.2,Appart Relax côté Mer
18, L appartement,6.0,Appart Relax côté Mer
19, L accueil et l emplacement,8.0,Appart Relax côté Mer
20, Les responsables sont présents et réactif,10.0,Silia Appartements
21, une bonne organisation ; bonne qualité des banquettes et des lits ; bon emplacement. une bonne propreté ; bon équipement dans la cuisine.,7.0,Silia Appartements
22," Propreté 
Équipement 
Emplacement",8.0,Silia Appartements
23, Ras,7.5,Silia Appartements
24, tout,9.2,Silia Appartements
25, La propreté de l'appart! Bonne acceuil,6.2,Silia Appartements
26,· Top on reviendra,10.0,Silia Appartements
27," De ruimte verdeling en comfort in het appartement.
Geen last van medebewoners.",8.0,Silia Appartements
28," Die Lage ist super und die Wohnung sehr sauber. Man hat viele Geschäfte in der Nähe und mit dem Auto kann man vor dem Haus parken. Man hat eine große Auswahl an Stränden, da die Lage so ideal ist.
Hier ist es ebenso sehr ruhig und sicher.
Das Personal ist auch sehr freundlich und hilfsbereit!!",10.0,Silia Appartements
29,Ce client n'a pas laissé de commentaire.,9.0,Silia Appartements
30," La propriété, le calme, l'emplacement hôte sympathique.",9.0,najah
31,"· L'appartement n'été proppre ,le ménage n'est pas fait avant notre arrivée !
pas de papier toilette , pas de serviéte ...etc",6.0,najah
32," L’établissement est très bien placé pour pouvoir ce déplacer dans les différents attractions d’Agadir.
L’appartement se situe dans une résidence bien sécurisé et très propre avec emplacement pour ce garer facilement. Un très grand salon et deux superbe chambre avec chacune un petit coin balcon très agréable.",7.0,najah
33," Très bonne appartement, la résidence est très calme.",8.0,najah
34," Emplacement, résidence sécurisée",2.0,najah
35," Nice kitchen, clean",7.5,najah
